"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C23";"CP_Radial_D6.3mm_P2.50mm";1;"22u";;;
2;"C22,C17,C16,C15,C14,C13";"C_Disc_D5.1mm_W3.2mm_P5.00mm";6;"1u";;;
3;"U12";"DIP-20_W7.62mm_Socket_LongPads";1;"ATF16V8B";;;
4;"U41";"TO-220-5_P3.4x3.8mm_StaggerOdd_Lead7.13mm_TabDown";1;"MCP1827S";;;
5;"RN8,RN7,RN6,RN4,RN5,RN1";"R_Array_SIP9";6;"1k";;;
6;"U25,U34,U32,U36,U31,U24,U23,U22,U19,U17,U16,U11,U10,U8";"DIP-20_W7.62mm_LongPads";14;"74F574";;;
7;"R5,R4,R3,R2,R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";5;"1k";;;
8;"Q2,Q1";"TO-92_HandSolder";2;"2N3904";;;
9;"TP38";"TestPoint_Pad_1.0x1.0mm";1;"IHCP";;;
10;"TP37";"TestPoint_Pad_1.0x1.0mm";1;"ILCP";;;
11;"U20";"DIP-32_W15.24mm_Socket_LongPads";1;"27C020";;;
12;"U27,U33,U30,U15";"DIP-20_W7.62mm_LongPads";4;"74F541";;;
13;"J9";"PinHeader_1x03_P2.54mm_Vertical";1;"RAM";;;
14;"U6,U37";"DIP-16_W7.62mm_LongPads";2;"74F157";;;
15;"U1";"DIP-14_W7.62mm_LongPads";1;"74F86";;;
16;"U5,U4";"DIP-16_W7.62mm_LongPads";2;"74ALS139";;;
17;"U3";"DIP-14_W7.62mm_LongPads";1;"74F32";;;
18;"D2";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"BAT42";;;
19;"TP23";"TestPoint_Pad_1.0x1.0mm";1;"VBLANK";;;
20;"TP10";"TestPoint_Pad_1.0x1.0mm";1;"~EXEC";;;
21;"D1";"LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm";1;"4300H1LC";;;
22;"J8";"PinSocket_1x16_P2.54mm_Vertical";1;"EXP OUT";;;
23;"TP36";"TestPoint_THTPad_1.0x1.0mm_Drill0.5mm";1;"DCLK";;;
24;"TP32,TP34";"TestPoint_THTPad_1.0x1.0mm_Drill0.5mm";2;"0v";;;
25;"TP31";"TestPoint_THTPad_1.0x1.0mm_Drill0.5mm";1;"-8v";;;
26;"TP30";"TestPoint_THTPad_1.0x1.0mm_Drill0.5mm";1;"+8v";;;
27;"C12,C11,C10,C9,C8,C7,C21,C20,C6,C5,C4,C3,C2,C1";"C_Disc_D5.0mm_W2.5mm_P5.00mm";14;"0.1u";;;
28;"C19,C18";"C_Disc_D3.0mm_W2.0mm_P2.50mm";2;"330p";;;
29;"R9";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"270k";;;
30;"R8,R6";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"100k";;;
31;"R7";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"330";;;
32;"J2";"TE_5749180-1";1;"KEYBOARD";;;
33;"TP27";"TestPoint_Pad_1.0x1.0mm";1;"CCP";;;
34;"TP2";"TestPoint_Pad_1.0x1.0mm";1;"ALU";;;
35;"TP33";"TestPoint_THTPad_1.0x1.0mm_Drill0.5mm";1;"+5v";;;
36;"TP29";"TestPoint_Pad_1.0x1.0mm";1;"VSYNC";;;
37;"TP28";"TestPoint_Pad_1.0x1.0mm";1;"HSYNC";;;
38;"TP17";"TestPoint_Pad_1.0x1.0mm";1;"ACP";;;
39;"TP4";"TestPoint_Pad_1.0x1.0mm";1;"HSEL";;;
40;"TP3";"TestPoint_Pad_1.0x1.0mm";1;"FETCH";;;
41;"TP9";"TestPoint_Pad_1.0x1.0mm";1;"~ALUE";;;
42;"TP8";"TestPoint_Pad_1.0x1.0mm";1;"~DOE";;;
43;"TP7";"TestPoint_Pad_1.0x1.0mm";1;"~DWE";;;
44;"TP6";"TestPoint_Pad_1.0x1.0mm";1;"~WRITE";;;
45;"TP5";"TestPoint_Pad_1.0x1.0mm";1;"~READ";;;
46;"TP18";"TestPoint_Pad_1.0x1.0mm";1;"~AOE";;;
47;"TP20";"TestPoint_Pad_1.0x1.0mm";1;"~PGOE";;;
48;"TP15";"TestPoint_Pad_1.0x1.0mm";1;"~POE";;;
49;"TP12";"TestPoint_Pad_1.0x1.0mm";1;"~XOE";;;
50;"TP26";"TestPoint_Pad_1.0x1.0mm";1;"~VOE";;;
51;"TP24";"TestPoint_Pad_1.0x1.0mm";1;"HBLANK";;;
52;"U14,U29,U28,U13";"DIP-16_W7.62mm_LongPads";4;"74F163";;;
53;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"SPKR";;;
54;"RV1";"Potentiometer_Piher_PT-10-H01_Horizontal";1;"1M";;;
55;"U40";"SIP-8_19x3mm_P2.54mm";1;"NJM4580";;;
56;"J3";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm";1;"SERIAL";;;
57;"TP11";"TestPoint_Pad_1.0x1.0mm";1;"XCP";;;
58;"TP14";"TestPoint_Pad_1.0x1.0mm";1;"ECP";;;
59;"TP22";"TestPoint_Pad_1.0x1.0mm";1;"SCP";;;
60;"TP25";"TestPoint_Pad_1.0x1.0mm";1;"VCP";;;
61;"TP13";"TestPoint_Pad_1.0x1.0mm";1;"YCP";;;
62;"TP21";"TestPoint_Pad_1.0x1.0mm";1;"HLCP";;;
63;"TP16";"TestPoint_Pad_1.0x1.0mm";1;"PCCP";;;
64;"TP19";"TestPoint_Pad_1.0x1.0mm";1;"PGCP";;;
65;"TP1";"TestPoint_Pad_1.0x1.0mm";1;"BOOT";;;
66;"U39";"DIP-16_W7.62mm_LongPads";1;"MAX232";;;
67;"U7";"DIP-16_W7.62mm_LongPads";1;"74F175";;;
68;"J1";"BarrelJack_CUI_PJ-102AH_Horizontal";1;"POWER IN";;;
69;"U35";"DIP-20_W7.62mm_LongPads";1;"74F299";;;
70;"U38";"DIP-16_W7.62mm_LongPads";1;"74HCT4053";;;
71;"U2";"DIP-14_W7.62mm_LongPads";1;"74F08";;;
72;"MH5,MH1,MH2,MH3,MH4,MH6";"MountingHole_2.5mm";6;"MountingHole_2.5mm";;;
73;"J7";"PinSocket_1x16_P2.54mm_Vertical";1;"EXPANSION";;;
74;"X1";"Oscillator_DIP-8";1;"33M";;;
75;"U26";"DIP-20_W7.62mm_LongPads";1;"74F244";;;
76;"U21";"DIP-32_W15.24mm_LongPads";1;"AS6C4008";;;
77;"U18";"DIP-16_W7.62mm_LongPads";1;"74F257";;;
78;"U9";"DIP-16_W7.62mm_LongPads";1;"74F138";;;
79;"SW1";"SWITCH_FSMRA3JH04";1;"RESET";;;
80;"RN10";"R_Array_SIP10";1;"R2R10k";;;
81;"RN9";"R_Array_SIP6";1;"220";;;
82;"RN2";"R_Array_SIP9";1;"150";;;
83;"Q3";"TO-92_HandSolder";1;"BS270";;;
84;"J4";"DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm";1;"DISPLAY";;;
85;"J6";"Jack_3.5mm_CUI_SJ1-3533NG_Horizontal";1;"AUDIO OUT";;;
